"","V1","V2","V3","V4","V5"
"ES2","","0.596159547040679","0.58973844775703","0.577277356847117","0.550797557066251"
"ES5","","0.692906510144536","0.691488656984788","0.682502992687903","0.623767019935012"
"ES8","","0.787561863712052","0.782127649561681","0.76525619818791","0.6997209764563"
"LOE2","","0.403840452959321","0.41026155224297","0.422722643152883","0.449202442933749"
"LOE5","","0.307093489855464","0.308511343015212","0.317497007312097","0.376232980064988"
"LOE8","","0.212438136287948","0.217872350438319","0.23474380181209","0.3002790235437"
