"","V1","V2","V3","V4","V5"
"ES2","","0.549035853637236","0.595618560213376","0.591192156215209","0.549058246322785"
"ES5","","0.625546825579","0.69408742208788","0.691425216206736","0.626155692212543"
"ES8","","0.700177507463761","0.783959374746856","0.78047678222102","0.7014832236664"
"LOE2","","0.450964146362764","0.404381439786624","0.408807843784791","0.450941753677215"
"LOE5","","0.374453174421","0.30591257791212","0.308574783793264","0.373844307787457"
"LOE8","","0.299822492536239","0.216040625253144","0.21952321777898","0.2985167763336"
