"","V1","V2","V3","V4","V5"
"ES2","","0.550734160244361","0.57801976278885","0.590698293070564","0.595390281639756"
"ES5","","0.624848442670355","0.682881376526166","0.69170055915018","0.693817365157251"
"ES8","","0.699660661935821","0.764767165850054","0.781100153552013","0.787097596500106"
"LOE2","","0.449265839755639","0.42198023721115","0.409301706929436","0.404609718360244"
"LOE5","","0.375151557329645","0.317118623473834","0.30829944084982","0.306182634842749"
"LOE8","","0.300339338064179","0.235232834149946","0.218899846447987","0.212902403499894"
